hex_id,bike_track_m,bike_lane_m,cyclestreet_m,road_length_m,n_ubahn_stops,n_sbahn_stops,n_tram_stops,n_bus_stops,n_bike_shops,n_bike_repair,n_bike_parking,n_bike_rental,n_traffic_signals,n_restaurants,n_cafes,n_shops,n_supermarkets,n_offices,n_schools,n_universities,n_parks,dist_hauptbahnhof_m,dist_alexanderplatz_m,has_ubahn,has_sbahn,has_tram,has_bus
1206,396.48,819.37,134.75,4705.97,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16472.054708581403,11616.30446759709,0,0,1,0
1207,35.41,19.25,1020.75,6703.63,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16484.73341671831,11684.164986195707,0,0,1,0
1208,541.35,309.65,1000.24,7046.37,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16542.801616354045,11815.282195756787,0,0,1,0
1209,193.35,0.0,625.22,4259.14,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16645.784295604837,12007.584074495562,0,0,1,0
1210,459.57,0.0,0.0,5953.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16792.855156690126,12258.191434579638,0,0,0,1
1211,877.04,0.0,0.0,4984.03,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16982.868833367113,12563.615689264365,0,0,0,1
1212,105.51,0.0,0.0,5371.02,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17214.403367794424,12919.969857869772,0,0,0,1
1213,0.0,0.0,0.0,4188.89,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17485.809469592903,13323.167906657514,0,0,1,0
1214,179.72,303.02,0.0,3095.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17795.26291754797,13769.095286535547,0,0,0,0
1215,1283.95,211.98,144.26,5904.2,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,8.0,3.0,0.0,14.0,1.0,7.0,0.0,0.0,0.0,18140.81673471264,14253.742208641917,0,0,1,1
